Rk,Player,PlayerID,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
318,Tyrick Mitchell,Tyrick-Mitchell,ENG,DF,Crystal Palace,19,1999,4,2,195,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0,0.09,0.09,0,0.09,2019/2020
319,Henrikh Mkhitaryan,Henrikh-Mkhitaryan,ARM,FW,Arsenal,30,1989,3,1,112,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.2,0.18,0.38,0.2,0.38,2019/2020
320,Nacho Monreal,Nacho-Monreal,ESP,DF,Arsenal,33,1986,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.03,0.09,0.12,0.03,0.12,2019/2020
321,Martín Montoya,Martin-Montoya,ESP,DF,Brighton,28,1991,27,23,1896,0,1,0,0,5,0,0,0.05,0.05,0,0.05,1.3,1.3,1.4,0.06,0.07,0.13,0.06,0.13,2019/2020
322,Simon Moore,Simon-Moore,ENG,GK,Sheffield Utd,29,1990,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
323,Aaron Mooy,Aaron-Mooy,AUS,MFFW,Brighton,28,1990,31,25,2085,2,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,2,2,3.4,0.09,0.15,0.23,0.09,0.23,2019/2020
324,Wesley Moraes,Wesley-Moraes,BRA,FW,Aston Villa,22,1996,21,21,1782,5,1,0,1,3,0,0.25,0.05,0.3,0.25,0.3,5,4.2,0.8,0.25,0.04,0.29,0.21,0.25,2019/2020
325,Wes Morgan,Wes-Morgan,JAM,DF,Leicester City,35,1984,11,4,436,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03,2019/2020
326,Ravel Morrison,Ravel-Morrison,JAM,MF,Sheffield Utd,26,1993,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,2019/2020
327,Mason Mount,Mason-Mount,ENG,MFFW,Chelsea,20,1999,37,32,2867,7,5,0,0,3,0,0.22,0.16,0.38,0.22,0.38,7.2,7.2,4.6,0.23,0.14,0.37,0.23,0.37,2019/2020
328,Lucas Moura,Lucas-Moura,BRA,FWMF,Tottenham,26,1992,35,25,2242,4,4,0,0,3,0,0.16,0.16,0.32,0.16,0.32,5.9,5.9,2.4,0.24,0.1,0.33,0.24,0.33,2019/2020
329,Lys Mousset,Lys-Mousset,FRA,FW,Sheffield Utd,23,1996,30,11,1240,6,4,0,0,1,0,0.44,0.29,0.73,0.44,0.73,4.9,4.9,2.5,0.36,0.18,0.54,0.36,0.54,2019/2020
330,João Moutinho,Joao-Moutinho,POR,MF,Wolves,32,1986,38,34,3108,1,6,0,0,7,0,0.03,0.17,0.2,0.03,0.2,0.8,0.8,6.1,0.02,0.18,0.2,0.02,0.2,2019/2020
331,Glenn Murray,Glenn-Murray,ENG,FW,Brighton,35,1983,23,7,797,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,2.1,2.1,0.5,0.24,0.05,0.3,0.24,0.3,2019/2020
332,Shkodran Mustafi,Shkodran-Mustafi,GER,DF,Arsenal,27,1992,15,13,1207,0,1,0,0,2,0,0,0.07,0.07,0,0.07,0.8,0.8,0,0.06,0,0.06,0.06,0.06,2019/2020
333,Yoshinori Mutō,Yoshinori-Muto,JPN,FWMF,Newcastle Utd,27,1992,8,2,212,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.04,0.03,0.06,0.04,0.06,2019/2020
334,Georges-Kévin N'Koudou,Georges-Kevin-NKoudou,FRA,FW,Tottenham,24,1995,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0.63,0.63,0.63,2019/2020
335,Marvelous Nakamba,Marvelous-Nakamba,ZIM,MF,Aston Villa,25,1994,29,19,1836,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.4,0.01,0.02,0.03,0.01,0.03,2019/2020
336,Wilfred Ndidi,Wilfred-Ndidi,NGA,MF,Leicester City,22,1996,32,29,2674,2,1,0,0,6,0,0.07,0.03,0.1,0.07,0.1,1.9,1.9,0.4,0.06,0.01,0.08,0.06,0.08,2019/2020
