Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Season
63,Willy Boly,CIV,DF,Wolves,29,1991,12,12,1080,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.02,0,0.02,0.02,0.02,2020/2021
64,Jarrod Bowen,ENG,FWMF,West Ham,24,1996,15,15,1200,4,2,0,0,0,0,0.3,0.15,0.45,0.3,0.45,3.3,3.3,1.3,0.25,0.1,0.35,0.25,0.35,2020/2021
65,Robbie Brady,IRL,MF,Burnley,28,1992,9,6,518,1,0,0,0,2,0,0.17,0,0.17,0.17,0.17,0.3,0.3,0.4,0.05,0.07,0.13,0.05,0.13,2020/2021
66,Rhian Brewster,ENG,FWMF,Sheffield Utd,20,2000,11,5,481,0,0,0,0,0,0,0,0,0,0,0,1,1,1.1,0.18,0.21,0.39,0.18,0.39,2020/2021
67,Josh Brownhill,ENG,MF,Burnley,25,1995,13,13,1170,0,0,0,0,1,0,0,0,0,0,0,0.7,0.7,0.6,0.05,0.04,0.09,0.05,0.09,2020/2021
68,Joe Bryan,ENG,DFFW,Fulham,27,1993,8,4,342,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.02,0.05,0.07,0.02,0.07,2020/2021
69,Kean Bryan,ENG,DF,Sheffield Utd,24,1996,2,2,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,2020/2021
70,Oliver Burke,SCO,FW,Sheffield Utd,23,1997,9,7,584,0,1,0,0,1,0,0,0.15,0.15,0,0.15,1.2,1.2,1.6,0.18,0.24,0.42,0.18,0.42,2020/2021
71,Dan Burn,ENG,DF,Brighton,28,1992,8,6,575,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,2020/2021
72,Oskar Buur,DEN,DF,Wolves,22,1998,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
73,Willy Caballero,ARG,GK,Chelsea,39,1981,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
74,Gary Cahill,ENG,DF,Crystal Palace,35,1985,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.02,0.07,0.09,0.02,0.09,2020/2021
75,Tom Cairney,SCO,MF,Fulham,29,1991,10,9,759,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,0.08,0.17,0.25,0.08,0.25,2020/2021
76,Dominic Calvert-Lewin,ENG,FW,Everton,23,1997,15,15,1326,11,0,0,0,3,0,0.75,0,0.75,0.75,0.75,8.3,8.3,0.6,0.56,0.04,0.6,0.56,0.6,2020/2021
77,João Cancelo,POR,DFMF,Manchester City,26,1994,10,10,900,0,1,0,0,3,0,0,0.1,0.1,0,0.1,0.2,0.2,1.9,0.02,0.19,0.21,0.02,0.21,2020/2021
78,Ian Carlo Poveda,ENG,MFDF,Leeds United,20,2000,8,0,207,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.16,0.16,0.32,0.16,0.32,2020/2021
79,Andy Carroll,ENG,FW,Newcastle Utd,31,1989,8,2,203,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.25,0.02,0.27,0.25,0.27,2020/2021
80,Matty Cash,ENG,DF,Aston Villa,23,1997,13,13,1132,0,2,0,0,5,0,0,0.16,0.16,0,0.16,0.2,0.2,1.2,0.01,0.1,0.11,0.01,0.11,2020/2021
81,Timothy Castagne,BEL,DF,Leicester City,25,1995,8,8,689,1,2,0,0,1,0,0.13,0.26,0.39,0.13,0.39,0.3,0.3,0.5,0.04,0.06,0.1,0.04,0.1,2020/2021
82,Ivan Cavaleiro,POR,FW,Fulham,27,1993,13,11,969,1,0,1,2,1,0,0.09,0,0.09,0,0,2.5,1.8,1.3,0.24,0.12,0.36,0.17,0.28,2020/2021
83,Edinson Cavani,URU,FW,Manchester Utd,33,1987,8,1,212,3,2,0,0,1,0,1.27,0.85,2.12,1.27,2.12,1.8,1.8,0.9,0.77,0.4,1.17,0.77,1.17,2020/2021
84,Dani Ceballos,ESP,MF,Arsenal,24,1996,13,8,851,0,1,0,0,2,0,0,0.11,0.11,0,0.11,0.1,0.1,1.8,0.01,0.19,0.2,0.01,0.2,2020/2021
85,Ben Chilwell,ENG,DF,Chelsea,24,1996,13,13,1080,2,4,0,0,1,0,0.17,0.33,0.5,0.17,0.5,1,1,1.1,0.08,0.09,0.17,0.08,0.17,2020/2021
86,Hamza Choudhury,ENG,MF,Leicester City,23,1997,3,1,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020/2021
87,Andreas Christensen,DEN,DF,Chelsea,24,1996,5,5,404,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,2020/2021
88,Ciaran Clark,IRL,DF,Newcastle Utd,31,1989,6,6,540,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,2020/2021
89,Nathaniel Clyne,ENG,DF,Crystal Palace,29,1991,9,9,791,0,1,0,0,1,0,0,0.11,0.11,0,0.11,0,0,0.3,0.01,0.03,0.04,0.01,0.04,2020/2021
